total_amount,avg_review,diff_first_today,diff_first_last,recency,frequency,customer_city,customer_state
38.72,5.0,1176,0,4.763958192160003,1,2895,25
225.51,4.0,1291,33,7.4580586870366945,2,3728,22
160.44,4.5,1121,7,2.7269553789605534,2,3328,25
93.3,4.0,1123,0,3.0226493357153124,1,1332,8
36.75,4.0,1191,0,5.2567814534179345,1,3634,25
411.6,5.0,1210,0,5.881024251011314,1,2650,25
88.05,5.0,1364,0,10.940676399926076,1,1651,12
209.86999999999998,4.5,1256,163,2.0370028131994498,2,3328,25
325.75,5.0,1121,0,2.9569395675475882,1,2504,16
20.29,5.0,1074,0,1.41276001560607,1,3173,25
560.55,3.6666666666666665,1083,0,1.7084539723608287,3,2310,18
419.06,3.0,1493,0,15.178956446744285,1,1342,10
53.58,5.0,1146,0,3.7783116696441406,1,2020,17
70.75,5.0,1063,0,1.051356290683587,1,649,25
28.09,5.0,1336,0,10.020739645577939,1,2026,10
204.06,1.0,1089,0,1.9055832768640013,1,2917,18
23.29,5.0,1064,0,1.084211174767449,1,3328,25
97.23,5.0,1046,0,0.49282326125793136,1,1057,10
201.08,5.0,1111,0,2.6283907267089672,1,3328,25
83.9,5.0,1253,0,7.293784266617385,1,1956,25
135.49,1.0,1079,0,1.5770344360253803,1,751,25
171.61,5.0,1133,0,3.3511981765539334,1,2159,25
181.81,5.0,1217,0,6.111008439598349,1,931,16
20.45,1.0,1086,0,1.8070186246124151,1,3328,25
45.09,5.0,1309,0,9.133657775313662,1,3037,22
137.75,1.0,1069,0,1.2484855951867595,1,600,25
55.62,1.0,1129,0,3.219778640218485,1,413,10
259.6,5.0,1480,0,14.751842953654078,2,3546,4
225.68,4.0,1200,31,4.533974003572968,2,3328,25
42.92,1.0,1081,0,1.6427442041931046,1,571,10
207.15,5.0,1169,0,4.533974003572968,1,3462,15
31.38,2.0,1233,0,6.636686584940143,1,1101,17
165.14,5.0,1282,0,8.246575905049385,1,2977,5
178.38,5.0,1248,0,7.129509846198074,3,3328,25
116.36,5.0,1130,0,3.252633524302347,1,2601,18
323.53,5.0,1096,0,2.135567465451036,1,3160,25
126.34,4.0,1437,0,13.339082938048008,1,3298,9
183.33,5.0,1158,0,4.172570278650485,1,1051,17
40.31,3.0,1384,0,11.597774081603319,1,2524,10
137.99,2.0,1228,0,6.472412164520832,1,2740,22
130.01,4.0,1128,0,3.186923756134623,1,3004,4
144.8,3.0,1040,0,0.29569395675475885,1,2393,25
309.1,5.0,1397,299,2.20127723361876,2,458,25
658.65,5.0,1110,0,2.595535842625105,1,3193,13
186.39,4.0,1409,0,12.419146183699871,2,1198,25
132.47,3.0,1066,0,1.149920942935173,1,1526,23
1735.8,5.0,1137,0,3.4826177128893816,4,1124,11
27.8,5.0,1132,0,3.3183432924700713,1,188,8
132.94,2.0,1232,0,6.60383170085628,1,1837,14
208.02,4.5,1589,398,5.2567814534179345,2,1306,23
76.64,5.0,1398,0,12.057742458777387,1,1412,25
154.2,4.0,1264,0,7.655187991539868,1,2917,18
134.35,5.0,1151,0,3.942586090063451,1,1408,25
53.54,4.0,1032,0,0.03285488408386209,1,1412,25
70.93,5.0,1401,0,12.156307111028974,1,2917,18
145.56,1.0,1133,0,3.3511981765539334,1,3328,25
54.1,5.0,1353,0,10.579272675003594,1,3129,22
109.25,5.0,1177,0,4.796813076243866,1,1911,22
146.46,5.0,1101,0,2.299841885870346,1,3656,10
223.4,3.0,1189,0,5.19107168525021,2,3702,25
89.88,4.0,1342,0,10.21786895008111,1,1359,22
367.93,4.0,1116,70,0.49282326125793136,2,2917,18
26.68,5.0,1272,0,7.918027064210764,1,3477,25
134.64,5.0,1101,0,2.299841885870346,1,3004,4
42.09,5.0,1122,0,2.9897944516314503,1,413,10
167.32,3.0,1262,0,7.589478223372143,1,1264,5
124.21,4.0,1189,0,5.19107168525021,1,236,25
130.69,5.0,1054,0,0.7556623339288281,1,1146,25
43.0,5.0,1320,0,9.495061500236144,1,2740,22
418.0,1.0,1138,16,2.9897944516314503,2,1051,17
44.09,5.0,1135,0,3.4169079447216575,1,3779,7
314.21,4.0,1056,0,0.8213721020965523,1,649,25
120.29,5.0,1061,0,0.9856465225158627,1,649,25
353.76,5.0,1455,0,13.930470851557526,1,3173,25
60.0,5.0,1284,0,8.31228567321711,1,2358,22
142.1,1.0,1136,0,3.4497628288055195,1,3328,25
32.13,5.0,1033,0,0.06570976816772418,1,2823,18
61.37,5.0,1117,0,2.82552003121214,1,3328,25
506.87,5.0,1468,0,14.357584344647734,1,3477,25
122.37,4.0,1115,0,2.759810263044416,1,3293,25
149.09,5.0,1440,0,13.437647590299596,1,413,10
55.09,4.0,1175,0,4.7311033080761415,1,3556,10
154.74,5.0,1211,0,5.9138791350951765,1,3328,25
38.13,5.0,1036,0,0.16427442041931045,1,2922,23
283.34,4.0,1307,183,3.0555042197991744,2,1247,16
295.7,5.0,1339,0,10.119304297829524,1,328,23
334.74,5.0,1279,134,3.7454567855602785,2,2040,5
287.56,5.0,1364,0,10.940676399926076,1,1802,8
633.28,5.0,1159,0,4.205425162734348,5,2917,18
337.18,5.0,1042,0,0.361403724922483,1,508,6
127.01,5.0,1357,0,10.710692211339042,1,413,10
105.29,2.0,1300,0,8.837963818558903,1,2270,18
14.78,5.0,1320,0,9.495061500236144,1,649,25
40.09,2.0,1093,0,2.0370028131994498,1,2873,10
304.47,5.0,1195,0,5.388200989753383,1,2917,18
27.38,4.0,1328,0,9.757900572907042,1,1051,17
52.84,1.0,1233,0,6.636686584940143,1,2917,18
405.36,3.5,1127,0,3.1540688720507606,4,1332,8
152.48,5.0,1168,0,4.501119119489107,1,3634,25
25.15,4.0,1172,0,4.632538655824555,1,3328,25
120.09,4.0,1230,0,6.538121932688556,1,508,6
53.84,4.0,1159,0,4.205425162734348,1,3328,25
31.75,3.0,1270,0,7.85231729604304,1,3527,25
45.69,1.0,1169,0,4.533974003572968,1,2917,18
27.75,5.0,1174,0,4.698248423992279,1,2740,22
209.2,5.0,1042,0,0.361403724922483,1,413,10
357.96,4.0,1128,0,3.186923756134623,2,1948,7
153.36,5.0,1050,0,0.6242427975933798,1,2855,15
106.29,4.0,1256,0,7.39234891886897,1,3333,18
70.0,5.0,1335,0,9.987884761494076,1,2917,18
106.87,4.0,1355,0,10.644982443171317,1,666,11
148.72,3.0,1365,0,10.973531284009939,1,2917,18
475.35,5.0,1329,0,9.790755456990903,1,2632,17
92.57,1.0,1134,0,3.3840530606377954,1,813,25
71.48,5.0,1154,0,4.041150742315037,1,3282,25
61.75,5.0,1300,0,8.837963818558903,1,398,25
280.12,5.0,1177,0,4.796813076243866,1,600,25
194.46,5.0,1472,0,14.489003880983182,1,2067,25
857.97,5.0,1063,0,1.051356290683587,1,3788,25
69.18,1.0,1039,0,0.26283907267089673,1,1610,10
155.64,4.0,1061,0,0.9856465225158627,1,408,13
203.82,5.0,1039,0,0.26283907267089673,1,1067,25
134.6,1.0,1050,0,0.6242427975933798,1,3328,25
100.16,5.0,1146,0,3.7783116696441406,1,66,22
218.73,5.0,1116,0,2.792665147128278,1,2049,10
438.75,5.0,1421,112,9.133657775313662,4,3178,25
98.54,5.0,1062,0,1.0185014065997249,1,3489,25
334.54,3.0,1336,0,10.020739645577939,1,508,6
137.2,1.0,1235,0,6.702396353107867,1,3328,25
131.44,4.0,1174,0,4.698248423992279,1,1956,25
515.7,1.0,1177,0,4.796813076243866,1,374,18
199.76,3.5,1377,259,2.858374915296002,2,1359,22
38.69,3.0,1335,0,9.987884761494076,1,3542,25
86.08,5.0,1058,0,0.8870818702642764,1,3282,25
30.75,4.0,1302,0,8.903673586726628,1,1776,25
66.69,3.0,1357,0,10.710692211339042,1,1748,4
105.28,4.0,1355,0,10.644982443171317,1,438,23
507.27,5.0,1204,0,5.683894946508142,3,413,10
556.94,4.75,1200,47,4.008295858231175,4,2917,18
167.07,5.0,1092,0,2.0041479291155877,1,3328,25
75.11,4.0,1423,0,12.87911456087394,1,760,7
185.09,3.3333333333333335,1348,76,7.918027064210764,3,1382,6
55.1,5.0,1287,0,8.410850325468695,1,1051,17
215.48,5.0,1034,0,0.09856465225158627,1,3328,25
157.12,5.0,1218,0,6.143863323682211,1,3489,25
141.24,2.5,1124,0,3.0555042197991744,2,3775,18
140.0,4.0,1182,0,4.9610874966631755,1,2267,8
259.51,5.0,1161,0,4.271134930902072,3,347,10
277.96,5.0,1173,0,4.665393539908417,1,1919,3
172.34,4.0,1108,0,2.529826074457381,1,3328,25
69.41,5.0,1231,0,6.5709768167724185,1,2802,25
92.77,5.0,1151,0,3.942586090063451,1,2855,15
256.22,3.0,1468,0,14.357584344647734,1,3328,25
115.44,5.0,1234,0,6.669541469024004,1,2917,18
149.69,5.0,1209,0,5.848169366927452,1,1863,25
173.84,4.0,1224,0,6.340992628185384,1,2517,10
348.03,2.5,1185,0,5.059652148914762,2,3160,25
44.24,5.0,1335,0,9.987884761494076,1,3328,25
135.07,5.0,1087,0,1.8398735086962772,2,2160,25
167.92,1.0,1066,0,1.149920942935173,1,3768,7
47.59,4.0,1265,0,7.688042875623729,1,3438,25
56.78,2.0,1280,0,8.180866136881662,1,3328,25
22.290000000000003,5.0,1035,0,0.13141953633544837,1,3328,25
61.73,4.0,1234,0,6.669541469024004,1,3328,25
55.11,1.0,1213,0,5.979588903262901,3,282,25
65.67,5.0,1392,0,11.860613154274215,1,877,17
69.27,4.0,1063,0,1.051356290683587,1,508,6
324.43,4.0,1128,31,2.168422349534898,2,3328,25
201.94,4.0,1063,0,1.051356290683587,1,3328,25
197.2,1.0,1185,0,5.059652148914762,1,2758,4
46.0,5.0,1216,0,6.078153555514487,1,3726,18
45.0,5.0,1276,0,8.049446600546213,1,1555,10
223.27999999999997,5.0,1222,0,6.27528286001766,4,358,7
108.2,5.0,1207,6,5.585330294256556,2,1863,25
46.13,4.0,1046,0,0.49282326125793136,1,413,10
71.65,5.0,1167,0,4.468264235405244,1,941,25
367.9,5.0,1476,0,14.62042341731863,1,2315,18
113.55,5.0,1381,0,11.499209429351732,1,199,24
39.24,4.0,1102,0,2.3326967699542087,1,3328,25
263.47,4.0,1095,0,2.102712581367174,1,3487,15
29.8,5.0,1091,0,1.9712930450317254,1,1948,7
64.01,5.0,1341,0,10.18501406599725,1,3173,25
214.27,5.0,1068,0,1.2156307111028974,1,2158,25
154.12,4.5,1385,0,11.63062896568718,4,2855,15
249.49,5.0,1034,0,0.09856465225158627,1,149,8
315.18,5.0,1242,0,6.932380541694902,1,3328,25
59.01,5.0,1314,0,9.297932195732972,1,649,25
1249.87,4.666666666666667,1250,3,7.096654962114211,3,1051,17
65.1,5.0,1117,0,2.82552003121214,1,3414,7
133.84,1.0,1077,0,1.5113246678576562,2,2914,18
57.38,2.5,1063,0,1.051356290683587,2,600,25
165.8,5.0,1138,0,3.5154725969732437,1,2358,22
101.34,5.0,1168,0,4.501119119489107,1,149,8
56.4,5.0,1179,0,4.86252284441159,1,532,23
114.84,5.0,1116,0,2.792665147128278,1,2917,18
121.09,5.0,1194,0,5.355346105669521,1,2740,22
147.17,5.0,1348,0,10.414998254584283,3,3328,25
457.52,5.0,1379,0,11.433499661184008,1,3328,25
100.2,5.0,1104,0,2.398406538121933,1,2529,18
57.68,5.0,1133,0,3.3511981765539334,1,3328,25
109.59,5.0,1127,0,3.1540688720507606,1,1132,18
765.74,5.0,1155,0,4.0740056263988995,3,3328,25
111.02,3.0,1176,0,4.763958192160003,1,666,11
58.74,3.0,1118,0,2.858374915296002,1,3328,25
42.33,5.0,1177,0,4.796813076243866,1,1941,25
47.69,5.0,1184,0,5.0267972648309,1,1051,17
109.38,1.0,1171,0,4.599683771740692,1,413,10
57.43,5.0,1087,0,1.8398735086962772,1,649,25
56.84,5.0,1188,0,5.158216801166349,1,2315,18
145.24,4.0,1133,0,3.3511981765539334,1,1332,8
54.0,1.0,1084,0,1.7413088564446908,1,2917,18
241.93,3.0,1105,0,2.431261422205795,1,1248,23
125.18,5.0,1089,0,1.9055832768640013,1,3328,25
116.85,5.0,1093,0,2.0370028131994498,1,2270,18
107.27,5.0,1413,0,12.55056572003532,1,3232,18
700.89,5.0,1216,0,6.078153555514487,1,408,13
139.52,5.0,1224,0,6.340992628185384,1,413,10
54.36,5.0,1167,0,4.468264235405244,1,3179,25
59.6,5.0,1145,0,3.7454567855602785,1,3128,25
56.29,4.0,1405,0,12.287726647364423,1,236,25
79.56,4.0,1192,0,5.289636337501797,1,1373,4
62.9,1.0,1073,0,1.379905131522208,1,508,6
188.51,4.0,1038,0,0.22998418858703465,1,3173,25
316.34000000000003,3.25,1432,82,10.480708022752006,4,3574,23
209.91,4.0,1084,0,1.7413088564446908,1,2917,18
55.85,5.0,1083,0,1.7084539723608287,1,2749,25
148.22,1.0,1095,0,2.102712581367174,1,2967,12
12.89,5.0,1343,0,10.250723834164972,1,3288,17
769.81,5.0,1424,334,1.9384381609478634,4,3173,25
44.1,5.0,1178,0,4.829667960327727,1,3183,23
688.35,2.0,1247,0,7.096654962114211,1,3772,10
160.57,5.0,1208,0,5.81531448284359,1,3328,25
137.6,3.0,1102,0,2.3326967699542087,1,1904,10
48.1,5.0,1273,0,7.950881948294626,1,2740,22
124.35,1.0,1278,0,8.115156368713937,1,961,10
158.3,4.0,1134,0,3.3840530606377954,1,408,13
76.63,5.0,1305,0,9.002238238978213,1,3494,25
33.71,4.0,1243,0,6.965235425778763,1,3328,25
136.4,5.0,1034,0,0.09856465225158627,1,3714,10
144.43,5.0,1168,0,4.501119119489107,1,1433,25
70.93,5.0,1471,0,14.456148996899321,1,2917,18
83.15,2.0,1347,0,10.38214337050042,1,1837,14
162.22,5.0,1192,0,5.289636337501797,1,1628,23
306.1,5.0,1402,0,12.189161995112835,1,413,10
76.66,4.0,1172,0,4.632538655824555,1,413,10
55.4,5.0,1034,0,0.09856465225158627,1,413,10
57.68,5.0,1082,0,1.6755990882769667,1,3328,25
150.69,5.0,1279,0,8.148011252797799,1,429,10
174.18,2.5,1216,160,0.8213721020965523,2,2272,18
108.58,5.0,1245,0,7.030945193946487,1,2596,25
190.17,1.0,1206,0,5.749604714675866,1,3328,25
158.33,5.0,1362,0,10.874966631758353,1,3758,22
991.52,3.0,1190,0,5.223926569334073,1,2917,18
990.54,5.0,1398,0,12.057742458777387,1,413,10
35.0,5.0,1274,0,7.983736832378488,1,438,23
150.14,5.0,1295,0,8.673689398139592,1,1489,4
384.31,3.5,1427,231,5.421055873837245,2,2917,18
198.43,5.0,1415,0,12.616275488203042,2,648,12
54.74,1.0,1427,0,13.010534097209389,1,1177,20
82.6,5.0,1235,0,6.702396353107867,1,3037,22
143.38,5.0,1039,0,0.26283907267089673,1,2917,18
176.16,5.0,1288,0,8.443705209552558,1,3328,25
200.0,5.0,1090,0,1.9384381609478634,1,2529,18
104.2,1.0,1079,0,1.5770344360253803,2,1447,7
105.38,4.0,1222,0,6.27528286001766,1,2917,18
76.34,5.0,1077,0,1.5113246678576562,1,2650,25
405.36,3.5,1127,0,3.1540688720507606,4,1332,8
317.04,4.0,1390,278,2.6612456107928293,2,3493,15
131.14,5.0,1233,0,6.636686584940143,1,3746,15
28.09,5.0,1375,0,11.30208012484856,1,877,17
80.0,5.0,1222,0,6.27528286001766,1,1248,23
115.49,4.5,1294,59,6.702396353107867,2,2393,25
44.79,5.0,1075,0,1.445614899689932,1,1932,25
28.19,5.0,1074,0,1.41276001560607,1,3367,25
129.01,5.0,1361,0,10.84211174767449,1,3328,25
150.01,5.0,1396,0,11.992032690609664,1,2896,25
153.32,4.0,1093,0,2.0370028131994498,1,2272,18
937.64,4.0,1246,0,7.06380007803035,1,780,10
228.24,3.0,1096,0,2.135567465451036,1,3328,25
265.95,4.0,1591,0,18.39873508696277,1,2069,17
394.34,5.0,1062,0,1.0185014065997249,1,413,10
112.46,5.0,1052,0,0.689952565761104,1,2003,18
103.06,5.0,1154,0,4.041150742315037,1,557,18
112.84,5.0,1279,0,8.148011252797799,1,3542,25
56.78,5.0,1394,0,11.926322922441939,1,939,26
569.49,5.0,1250,97,4.008295858231175,4,2158,25
194.5,4.0,1339,0,10.119304297829524,1,374,18
164.8,4.0,1206,0,5.749604714675866,1,3328,25
151.7,5.0,1361,0,10.84211174767449,1,508,6
74.41,5.0,1058,0,0.8870818702642764,1,2896,25
159.06,5.0,1415,0,12.616275488203042,1,2917,18
96.49,5.0,1075,0,1.445614899689932,1,3328,25
205.4,5.0,1397,0,12.024887574693526,1,3430,17
61.75,5.0,1288,0,8.443705209552558,1,2684,25
90.22,4.0,1408,0,12.386291299616008,1,3779,7
59.0,4.0,1206,0,5.749604714675866,1,2917,18
74.76,2.0,1237,0,6.768106121275591,1,2892,10
100.62,4.0,1040,0,0.29569395675475885,1,3328,25
85.01,5.0,1125,0,3.0883591038830365,1,3093,7
659.89,4.333333333333333,1188,0,5.158216801166349,3,186,25
118.2,5.0,1134,0,3.3840530606377954,1,3426,25
690.52,4.333333333333333,1425,117,9.1008028912298,3,1768,25
53.38,1.0,1139,0,3.5483274810571057,1,3128,25
215.14,5.0,1292,0,8.575124745888006,1,438,23
433.28,4.0,1138,0,3.5154725969732437,1,2917,18
49.84,5.0,1111,0,2.6283907267089672,1,2655,25
212.32,2.0,1133,0,3.3511981765539334,1,289,25
90.76,5.0,1161,0,4.271134930902072,1,3328,25
555.32,4.0,1075,0,1.445614899689932,1,413,10
21.43,5.0,1178,0,4.829667960327727,1,3328,25
110.97,5.0,1258,0,7.4580586870366945,1,3328,25
231.49,3.5,1286,148,3.5154725969732437,2,1248,23
597.22,5.0,1319,33,8.377995441384833,2,1675,25
293.12,3.0,1408,0,12.386291299616008,1,3287,25
81.76,2.0,1242,0,6.932380541694902,1,1041,12
32.78,5.0,1127,0,3.1540688720507606,1,3328,25
364.95000000000005,3.0,1175,50,3.0883591038830365,2,2393,25
71.42,3.0,1164,0,4.3696995831536585,1,1051,17
30.88,5.0,1050,0,0.6242427975933798,1,2002,23
110.18,5.0,1364,0,10.940676399926076,1,1699,18
343.07,5.0,1298,0,8.772254050391178,1,3328,25
86.52,5.0,1046,0,0.49282326125793136,1,3328,25
52.34,3.0,1039,0,0.26283907267089673,1,3328,25
70.91,3.0,1102,0,2.3326967699542087,1,1688,25
196.92000000000002,3.0,1085,23,1.0185014065997249,2,3328,25
116.85,5.0,1184,0,5.0267972648309,1,3328,25
265.95,5.0,1250,0,7.195219614365798,1,3477,25
317.29999999999995,5.0,1246,193,0.722807449844966,2,1954,17
46.05,5.0,1047,0,0.5256781453417935,1,3328,25
106.15,1.0,1067,0,1.1827758270190354,1,2577,22
923.4,4.0,1171,131,0.29569395675475885,2,649,25
153.34,1.0,1158,0,4.172570278650485,1,3779,7
49.27,4.0,1186,0,5.092507032998625,1,1555,10
147.15,5.0,1123,0,3.0226493357153124,1,877,17
191.68,2.0,1179,0,4.86252284441159,1,2917,18
32.0,5.0,1369,0,11.104950820345387,1,3477,25
93.32,2.0,1050,0,0.6242427975933798,1,413,10
27.75,5.0,1173,0,4.665393539908417,1,2917,18
227.27,5.0,1317,0,9.396496847984558,1,2740,22
300.21,5.0,1110,0,2.595535842625105,1,1701,25
132.58,5.0,1096,0,2.135567465451036,1,3328,25
841.1500000000001,4.666666666666667,1487,313,4.698248423992279,3,2705,10
108.58,5.0,1098,0,2.20127723361876,1,307,25
124.02,3.0,1138,0,3.5154725969732437,1,3282,25
194.09,5.0,1362,57,9.002238238978213,2,1264,5
46.01,4.0,1192,0,5.289636337501797,1,2929,22
